update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,32.0,0.96875,0.0,0.0,0.0,0.0,1.0,4.991322040557861,-0.24297559261322021,81.33143615722656,-0.1348680853843689,162.93017578125,18.08228240803906,31.122405767440796
2,31.0,0.967741935483871,0.0,0.0,0.0,0.0,1.0,7.797087669372559,-0.24388623237609863,0.6214983463287354,-0.0,1.2405577898025513,2.412978614648359,33.970826625823975
3,24.0,0.9583333333333334,0.0,0.0,0.0,0.0,1.0,5.6140336990356445,-0.24685585498809814,48.99384307861328,-0.10903811454772949,98.20329284667969,7.6815034382065015,38.933616638183594
4,28.0,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,7.238966464996338,-0.2473841905593872,62.29057693481445,-0.1016131266951561,124.78190612792969,21.31899548694234,43.402883768081665
5,30.0,1.0,0.0,0.0,0.0,0.0,1.0,5.818310737609863,-0.24738562107086182,48.4326286315918,-0.15425483882427216,97.17129516601562,10.799447328173025,49.09166479110718
6,28.0,1.0,0.0,0.0,0.0,0.0,1.0,7.128094673156738,-0.24420952796936035,0.33257436752319336,-0.18148469924926758,1.0256760120391846,2.391109109506988,50.208154916763306
7,25.0,0.92,0.04,0.0,0.0,0.0,1.0,6.075759410858154,-0.24247360229492188,33.4720573425293,-0.006383074447512627,66.95445251464844,7.167137608866853,51.352078914642334
8,27.0,1.0,0.0,0.0,0.0,0.0,1.0,5.7059736251831055,-0.2417292594909668,0.6134812831878662,-0.0,1.2245452404022217,3.414254759616011,52.48107314109802
9,25.0,0.96,0.04,0.0,0.0,0.0,1.0,1.8900995254516602,-0.24182415008544922,0.6632605791091919,-0.0,1.3241028785705566,2.4403517411506286,53.58783984184265
10,31.0,0.967741935483871,0.0,0.0,0.0,0.0,1.0,5.589109420776367,-0.24100124835968018,0.26092419028282166,-0.13061343133449554,0.7806652784347534,2.2249026390947493,58.587013244628906
11,25.0,0.96,0.0,0.0,0.0,0.0,1.0,5.983030319213867,-0.24961841106414795,0.4074168801307678,-0.16586270928382874,1.1440629959106445,2.814503637104772,63.40350294113159
12,28.0,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,6.07129430770874,-0.25690555572509766,36.49000549316406,-0.0031397566199302673,72.98371887207031,11.90470603745489,64.17570090293884
