policy,num_agents,scenario,metric,n,estimate,ci_low,ci_high
distributed_cbf,3,dense,team_success,100,0.57,0.47,0.67
distributed_cbf,3,dense,collision,100,0.05,0.01,0.09024999999999864
distributed_cbf,3,dropout,team_success,100,0.17,0.1,0.25
distributed_cbf,3,dropout,collision,100,0.49,0.39,0.59
distributed_cbf,3,dynamic,team_success,100,0.1,0.05,0.16
distributed_cbf,3,dynamic,collision,100,0.14,0.08,0.21
distributed_cbf,3,static,team_success,100,0.0,0.0,0.0
distributed_cbf,3,static,collision,100,0.0,0.0,0.0
distributed_cbf,3,wind,team_success,100,0.32,0.23,0.41
distributed_cbf,3,wind,collision,100,0.46,0.36,0.56
distributed_cbf,5,dense,team_success,100,0.23,0.15,0.32
distributed_cbf,5,dense,collision,100,0.1,0.05,0.17
distributed_cbf,5,dropout,team_success,100,0.06,0.02,0.11
distributed_cbf,5,dropout,collision,100,0.72,0.63,0.81
distributed_cbf,5,dynamic,team_success,100,0.01,0.0,0.03
distributed_cbf,5,dynamic,collision,100,0.38,0.29,0.4702499999999986
distributed_cbf,5,static,team_success,100,0.0,0.0,0.0
distributed_cbf,5,static,collision,100,0.02,0.0,0.05
distributed_cbf,5,wind,team_success,100,0.18,0.11,0.26
distributed_cbf,5,wind,collision,100,0.69,0.59975,0.77
distributed_cbf,7,dense,team_success,100,0.02,0.0,0.05
distributed_cbf,7,dense,collision,100,0.28,0.19,0.36
distributed_cbf,7,dropout,team_success,100,0.0,0.0,0.0
distributed_cbf,7,dropout,collision,100,0.92,0.86,0.97
distributed_cbf,7,dynamic,team_success,100,0.01,0.0,0.03
distributed_cbf,7,dynamic,collision,100,0.44,0.34,0.54
distributed_cbf,7,static,team_success,100,0.0,0.0,0.0
distributed_cbf,7,static,collision,100,0.02,0.0,0.05
distributed_cbf,7,wind,team_success,100,0.07,0.03,0.12
distributed_cbf,7,wind,collision,100,0.8,0.72,0.87
distributed_cbf,10,dense,team_success,100,0.01,0.0,0.03
distributed_cbf,10,dense,collision,100,0.44,0.34,0.54
distributed_cbf,10,dropout,team_success,100,0.01,0.0,0.03
distributed_cbf,10,dropout,collision,100,0.9,0.84,0.9502499999999986
distributed_cbf,10,dynamic,team_success,100,0.0,0.0,0.0
distributed_cbf,10,dynamic,collision,100,0.6,0.5,0.7
distributed_cbf,10,static,team_success,100,0.0,0.0,0.0
distributed_cbf,10,static,collision,100,0.09,0.04,0.15
distributed_cbf,10,wind,team_success,100,0.01,0.0,0.03
distributed_cbf,10,wind,collision,100,0.94,0.89,0.98
gcbf_local,3,dense,team_success,500,0.656,0.396,0.818
gcbf_local,3,dense,collision,500,0.034,0.006,0.074
gcbf_local,3,dropout,team_success,500,0.366,0.2,0.532
gcbf_local,3,dropout,collision,500,0.296,0.20995,0.39004999999999973
gcbf_local,3,dynamic,team_success,500,0.298,0.11195000000000001,0.5300499999999998
gcbf_local,3,dynamic,collision,500,0.126,0.066,0.18804999999999972
gcbf_local,3,static,team_success,500,0.148,0.02,0.372
gcbf_local,3,static,collision,500,0.002,0.0,0.008
gcbf_local,3,wind,team_success,500,0.398,0.28,0.52
gcbf_local,3,wind,collision,500,0.348,0.256,0.452
gcbf_local,5,dense,team_success,500,0.41,0.16395,0.6560499999999998
gcbf_local,5,dense,collision,500,0.126,0.074,0.188
gcbf_local,5,dropout,team_success,500,0.2,0.066,0.352
gcbf_local,5,dropout,collision,500,0.562,0.442,0.686
gcbf_local,5,dynamic,team_success,500,0.156,0.036,0.334
gcbf_local,5,dynamic,collision,500,0.31,0.242,0.392
gcbf_local,5,static,team_success,500,0.156,0.0,0.4320499999999997
gcbf_local,5,static,collision,500,0.018,0.006,0.032
gcbf_local,5,wind,team_success,500,0.176,0.09,0.254
gcbf_local,5,wind,collision,500,0.624,0.558,0.694
gcbf_local,7,dense,team_success,500,0.36,0.16,0.574
gcbf_local,7,dense,collision,500,0.232,0.17,0.302
gcbf_local,7,dropout,team_success,500,0.094,0.01,0.228
