,,,ci_high,ci_high,ci_low,ci_low,estimate,estimate
metric,,,collision,team_success,collision,team_success,collision,team_success
policy,num_agents,scenario,,,,,,
distributed_cbf,3,dense,0.09024999999999864,0.67,0.01,0.47,0.05,0.57
distributed_cbf,3,dropout,0.59,0.25,0.39,0.1,0.49,0.17
distributed_cbf,3,dynamic,0.21,0.16,0.08,0.05,0.14,0.1
distributed_cbf,3,static,0.0,0.0,0.0,0.0,0.0,0.0
distributed_cbf,3,wind,0.56,0.41,0.36,0.23,0.46,0.32
distributed_cbf,5,dense,0.17,0.32,0.05,0.15,0.1,0.23
distributed_cbf,5,dropout,0.81,0.11,0.63,0.02,0.72,0.06
distributed_cbf,5,dynamic,0.4702499999999986,0.03,0.29,0.0,0.38,0.01
distributed_cbf,5,static,0.05,0.0,0.0,0.0,0.02,0.0
distributed_cbf,5,wind,0.77,0.26,0.59975,0.11,0.69,0.18
distributed_cbf,7,dense,0.36,0.05,0.19,0.0,0.28,0.02
distributed_cbf,7,dropout,0.97,0.0,0.86,0.0,0.92,0.0
distributed_cbf,7,dynamic,0.54,0.03,0.34,0.0,0.44,0.01
distributed_cbf,7,static,0.05,0.0,0.0,0.0,0.02,0.0
distributed_cbf,7,wind,0.87,0.12,0.72,0.03,0.8,0.07
distributed_cbf,10,dense,0.54,0.03,0.34,0.0,0.44,0.01
distributed_cbf,10,dropout,0.9502499999999986,0.03,0.84,0.0,0.9,0.01
distributed_cbf,10,dynamic,0.7,0.0,0.5,0.0,0.6,0.0
distributed_cbf,10,static,0.15,0.0,0.04,0.0,0.09,0.0
distributed_cbf,10,wind,0.98,0.03,0.89,0.0,0.94,0.01
gcbf_local,3,dense,0.074,0.818,0.006,0.396,0.034,0.656
gcbf_local,3,dropout,0.39004999999999973,0.532,0.20995,0.2,0.296,0.366
gcbf_local,3,dynamic,0.18804999999999972,0.5300499999999998,0.066,0.11195000000000001,0.126,0.298
gcbf_local,3,static,0.008,0.372,0.0,0.02,0.002,0.148
gcbf_local,3,wind,0.452,0.52,0.256,0.28,0.348,0.398
gcbf_local,5,dense,0.188,0.6560499999999998,0.074,0.16395,0.126,0.41
gcbf_local,5,dropout,0.686,0.352,0.442,0.066,0.562,0.2
gcbf_local,5,dynamic,0.392,0.334,0.242,0.036,0.31,0.156
gcbf_local,5,static,0.032,0.4320499999999997,0.006,0.0,0.018,0.156
gcbf_local,5,wind,0.694,0.254,0.558,0.09,0.624,0.176
gcbf_local,7,dense,0.302,0.574,0.17,0.16,0.232,0.36
gcbf_local,7,dropout,0.8480499999999997,0.228,0.58995,0.01,0.728,0.094
gcbf_local,7,dynamic,0.464,0.246,0.282,0.012,0.374,0.098
gcbf_local,7,static,0.048,0.056,0.002,0.0,0.022,0.018
gcbf_local,7,wind,0.846,0.18,0.718,0.06795000000000001,0.78,0.12
gcbf_local,10,dense,0.492,0.098,0.36395,0.0,0.428,0.032
gcbf_local,10,dropout,0.91,0.032,0.796,0.0,0.856,0.012
gcbf_local,10,dynamic,0.63,0.072,0.47,0.0,0.55,0.028
gcbf_local,10,static,0.172,0.014,0.078,0.0,0.12,0.004
gcbf_local,10,wind,0.946,0.022,0.832,0.0,0.894,0.01
gcbf_local,12,ood_dense,1.0,0.0,1.0,0.0,1.0,0.0
gcbf_privileged,3,dense,0.09,0.836,0.006,0.36,0.04,0.66
gcbf_privileged,3,dropout,0.304,0.542,0.144,0.22395,0.212,0.408
gcbf_privileged,3,dynamic,0.2120499999999997,0.47,0.07595,0.164,0.134,0.336
gcbf_privileged,3,static,0.0,0.224,0.0,0.014,0.0,0.092
gcbf_privileged,3,wind,0.4420499999999997,0.476,0.298,0.23195000000000002,0.364,0.374
gcbf_privileged,5,dense,0.156,0.65,0.082,0.242,0.118,0.46
gcbf_privileged,5,dropout,0.6340499999999998,0.274,0.444,0.08995,0.536,0.188
gcbf_privileged,5,dynamic,0.454,0.238,0.286,0.07,0.364,0.16
gcbf_privileged,5,static,0.046,0.23,0.016,0.018,0.03,0.1
gcbf_privileged,5,wind,0.7660499999999998,0.214,0.628,0.078,0.698,0.15
gcbf_privileged,7,dense,0.268,0.53,0.162,0.174,0.214,0.372
gcbf_privileged,7,dropout,0.6980499999999997,0.248,0.524,0.072,0.604,0.164
gcbf_privileged,7,dynamic,0.48,0.168,0.25,0.038,0.346,0.102
gcbf_privileged,7,static,0.03,0.01,0.006,0.0,0.016,0.002
gcbf_privileged,7,wind,0.862,0.2,0.698,0.064,0.772,0.136
gcbf_privileged,10,dense,0.428,0.094,0.32,0.026,0.374,0.06
gcbf_privileged,10,dropout,0.726,0.022,0.586,0.002,0.654,0.01
gcbf_privileged,10,dynamic,0.596,0.03,0.394,0.0,0.486,0.012
gcbf_privileged,10,static,0.106,0.0,0.058,0.0,0.08,0.0
gcbf_privileged,10,wind,0.902,0.038,0.79195,0.002,0.844,0.018
gcbf_privileged,12,ood_dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,3,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,3,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,3,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,3,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,3,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,wind,1.0,0.0,1.0,0.0,1.0,0.0
