step,time_s,uav,x_m,y_m,z_m,goal_x_m,goal_y_m,goal_z_m
0,0.0,1,7.2326459884643555,0.12903286516666412,2.6509811878204346,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
0,0.0,2,-3.2338788509368896,5.552061557769775,2.8027596473693848,3.2338788509368896,-5.552061557769775,4.519034385681152
0,0.0,3,-3.556056022644043,-6.004863739013672,3.2434940338134766,3.556056022644043,6.004863739013672,4.364777088165283
1,0.25,1,7.108739852905273,0.09410235285758972,2.790956974029541,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
1,0.25,2,-3.357785224914551,5.421611309051514,2.942735433578491,3.2338788509368896,-5.552061557769775,4.519034385681152
1,0.25,3,-3.429962396621704,-5.885313987731934,3.383469820022583,3.556056022644043,6.004863739013672,4.364777088165283
2,0.5,1,6.922038555145264,0.023370124399662018,2.9402241706848145,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
2,0.5,2,-3.339348554611206,5.142782211303711,3.1243057250976562,3.2338788509368896,-5.552061557769775,4.519034385681152
2,0.5,3,-3.176217555999756,-5.682116508483887,3.5474064350128174,3.556056022644043,6.004863739013672,4.364777088165283
3,0.75,1,6.826377868652344,-0.07214919477701187,3.08048939704895,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
3,0.75,2,-3.4270904064178467,4.802013397216797,3.2963268756866455,3.2338788509368896,-5.552061557769775,4.519034385681152
3,0.75,3,-2.9378137588500977,-5.611547946929932,3.7090189456939697,3.556056022644043,6.004863739013672,4.364777088165283
4,1.0,1,6.627843856811523,-0.1398414969444275,3.2234177589416504,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
4,1.0,2,-3.396129846572876,4.479416370391846,3.4687962532043457,3.2338788509368896,-5.552061557769775,4.519034385681152
4,1.0,3,-2.80380916595459,-5.439197540283203,3.8650410175323486,3.556056022644043,6.004863739013672,4.364777088165283
5,1.25,1,6.552286624908447,-0.24285516142845154,3.3424479961395264,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
5,1.25,2,-3.492192268371582,4.155454158782959,3.617794990539551,3.2338788509368896,-5.552061557769775,4.519034385681152
5,1.25,3,-2.5856523513793945,-5.38621711730957,3.996553659439087,3.556056022644043,6.004863739013672,4.364777088165283
6,1.5,1,6.352464199066162,-0.3094409108161926,3.473531723022461,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
6,1.5,2,-3.4646084308624268,3.8442163467407227,3.774094820022583,3.2338788509368896,-5.552061557769775,4.519034385681152
6,1.5,3,-2.493849515914917,-5.216130256652832,4.134066581726074,3.556056022644043,6.004863739013672,4.364777088165283
7,1.75,1,6.284610271453857,-0.4231220781803131,3.5982747077941895,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
7,1.75,2,-3.537815809249878,3.546428918838501,3.924625873565674,3.2338788509368896,-5.552061557769775,4.519034385681152
7,1.75,3,-2.293424129486084,-5.159195899963379,4.264364242553711,3.556056022644043,6.004863739013672,4.364777088165283
8,2.0,1,6.097994804382324,-0.5010286569595337,3.7358169555664062,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
8,2.0,2,-3.4797842502593994,3.2358486652374268,4.080898761749268,3.2338788509368896,-5.552061557769775,4.519034385681152
